Mixture;B cells;CD4 Naive;CD4 Memory;CD8 Naive;CD8 Memory;CD8 Effector;Treg cell;Th cell;Monocytes CD16;Monocytes CD14;DC;NK
TCGA-ER-A3EV-06A-11R-A20F-07;0;0.142095501;0.328250234;0;0;0.007406967;0;0.370625051;0.000155391;0;0;0
TCGA-EE-A3JE-06A-11R-A20F-07;0;0.331157056;0.01520087;0;0;0.093422537;0;0.248630534;0;0.066597236;0.087406406;0
TCGA-EE-A3J8-06A-11R-A20F-07;0.006530454;0.101767888;0.147759337;0;0.084794078;0.013808875;0;0.544969077;0;0;0;0
TCGA-EE-A3JA-06A-11R-A20F-07;0;0.034125481;0.172505647;0;0;0.004287143;0;0.42353065;0;0.021789472;0.019058554;0
TCGA-D3-A3ML-06A-11R-A21D-07;0;0;0.235100692;0;0;0;0;0.622862479;0;0;0;0.000155379
TCGA-D3-A3MO-06A-11R-A21D-07;0;0.125185582;0.160836685;0.001277607;0;0.016737026;0;0.434984134;0;0.078797464;0.037275822;0.003631714
TCGA-ER-A3ES-06A-11R-A20F-07;0;0.055936008;0.158387944;0;0;0.003173657;0;0.65471258;0.000942993;0;0;0
TCGA-EE-A3J4-06A-11R-A20F-07;0;0;0.110811988;0.104691105;0.046008023;0;0;0.580356015;0;0;0.014671685;0.003119008
TCGA-EE-A3J7-06A-11R-A20F-07;0;0.095184681;0;0;0.023826854;0.004426668;0;0.697550889;0.004080453;0;0;0
TCGA-DA-A3F8-06A-11R-A20F-07;0;0.11946932;0.22763271;0;0;0.080526957;0;0.126021557;0;0.106264876;0.212618226;0.003313921
TCGA-EB-A24C-01A-11R-A18T-07;0;0;0.046530856;0.271865282;0.108347859;0;0;0.28383913;0.073506688;0.031666302;0;0
TCGA-FS-A1ZN-01A-11R-A18T-07;0.04335087;0.304988865;0.014291757;0;0;0.015718086;0;0.375698421;0.094395314;0.006134129;0;0
TCGA-ER-A2NF-01A-11R-A18T-07;0.023739709;0;0.079540367;0.156883035;0;0.005964768;0;0.509046041;0;0;0.054661242;0.001621241
TCGA-ER-A19K-01A-21R-A18T-07;0;0;0.434437279;0;0;0.014513102;0;0.33787584;0.023530728;0.013827505;0.01823442;0.001735675
TCGA-ER-A19T-06A-11R-A18U-07;0.149555385;0.055765579;0.252219929;0;0;0.017783785;0;0.215348823;0;0;0.063707532;0.003727776
TCGA-ER-A19G-06A-11R-A18U-07;0.009343336;0.196149906;0.069318406;0;0.023561735;0;0;0.354186395;0;0;0.092479936;0.007597099
TCGA-FS-A1Z3-06A-11R-A18T-07;0.065876568;0;0.351324757;0.053776522;0;0;0;0.437900413;0;0;0.000770216;0
TCGA-FS-A1ZC-06A-11R-A18T-07;0.068077574;0.272121542;0.09131336;0;0;0.020501629;0;0.519901163;0.000775173;0.010209159;0;0
TCGA-ER-A2ND-06A-11R-A18T-07;0.109726533;0;0.401198007;0;0;0.020249367;0.06346887;0.23555681;0;0;0.025942562;0
TCGA-ER-A19S-06A-11R-A18U-07;0.023048631;0.12957146;0.125894319;0;0.138687122;0.067053751;0;0.145803;0;0;0.124979647;0
